s1,s2,fna_dist,bk_no_clean_up,ak_no_clean_up,bk_cleaned,ak_cleaned
Drosophila_ananassae,Drosophila_ananassae,0,0,0,0,0
Drosophila_biarmipes,Drosophila_ananassae,0.122385255,0.110354807,0.109153883,0.110346793,0.109154742
Drosophila_bipectinata,Drosophila_ananassae,0.069793176,0.066442082,0.064483514,0.066417251,0.064449376
Drosophila_erecta,Drosophila_ananassae,0.123016457,0.124462229,0.124541336,0.12445371,0.124513076
Drosophila_eugracilis,Drosophila_ananassae,0.118637664,0.111469005,0.112121401,0.11145401,0.112113106
Drosophila_mauritiana,Drosophila_ananassae,0.121489162,0.121948746,0.12351337,0.121931767,0.123483925
Drosophila_mojavensis,Drosophila_ananassae,0.165416263,0.162329554,0.167537012,0.162290863,0.16750588
Drosophila_persimilis,Drosophila_ananassae,0.138042171,0.135749696,0.140393682,0.135720419,0.140362437
Drosophila_pseudoobscura,Drosophila_ananassae,0.137791712,0.140340288,0.143566296,0.140319526,0.143530956
Drosophila_sechellia,Drosophila_ananassae,0.121300308,0.105041184,0.124788593,0.10499581,0.124760355
Drosophila_simulans,Drosophila_ananassae,0.120867333,0.123053104,0.122834444,0.123006074,0.12279708
Drosophila_virilis,Drosophila_ananassae,0.163554656,0.145094065,0.164067558,0.145073124,0.164027732
Drosophila_willistoni,Drosophila_ananassae,0.160456145,0.151648177,0.158824745,0.151601979,0.158782326
Drosophila_yakuba,Drosophila_ananassae,0.123644541,0.124715464,0.125186712,0.124706503,0.125172811
Drosophila_ananassae,Drosophila_biarmipes,0.122385255,0.110354807,0.109153883,0.110346793,0.109154742
Drosophila_biarmipes,Drosophila_biarmipes,0,0,0,0,0
Drosophila_bipectinata,Drosophila_biarmipes,0.121799424,0.106755805,0.107484844,0.10671362,0.107444414
Drosophila_erecta,Drosophila_biarmipes,0.09853436,0.097504468,0.098935499,0.097493051,0.098921628
Drosophila_eugracilis,Drosophila_biarmipes,0.094439092,0.089500329,0.090684951,0.089488921,0.090676969
Drosophila_mauritiana,Drosophila_biarmipes,0.096407612,0.095594348,0.09695515,0.095575777,0.096938133
Drosophila_mojavensis,Drosophila_biarmipes,0.165539067,0.15994948,0.165912779,0.159902158,0.165871846
Drosophila_persimilis,Drosophila_biarmipes,0.136456693,0.13488619,0.140049248,0.134842865,0.140004069
Drosophila_pseudoobscura,Drosophila_biarmipes,0.136143953,0.135937371,0.139373848,0.135912286,0.139353728
Drosophila_sechellia,Drosophila_biarmipes,0.098150964,0.098125688,0.09945927,0.098093666,0.099415414
Drosophila_simulans,Drosophila_biarmipes,0.09589761,0.094809255,0.096129292,0.094794299,0.096114999
Drosophila_virilis,Drosophila_biarmipes,0.163325085,0.151245211,0.163220328,0.151196515,0.163186274
Drosophila_willistoni,Drosophila_biarmipes,0.161127995,0.152792786,0.159663318,0.152753593,0.159624341
Drosophila_yakuba,Drosophila_biarmipes,0.099188513,0.09865707,0.100211655,0.098633567,0.100188651
Drosophila_ananassae,Drosophila_bipectinata,0.069793176,0.066442082,0.064483514,0.066417251,0.064449376
Drosophila_biarmipes,Drosophila_bipectinata,0.121799424,0.106755805,0.107484844,0.10671362,0.107444414
Drosophila_bipectinata,Drosophila_bipectinata,0,0,0,0,0
Drosophila_erecta,Drosophila_bipectinata,0.123456883,0.113008547,0.115526825,0.112974839,0.11548801
Drosophila_eugracilis,Drosophila_bipectinata,0.118106578,0.088746321,0.106676165,0.088717541,0.106644141
Drosophila_mauritiana,Drosophila_bipectinata,0.119579046,0.102953921,0.119867207,0.102908372,0.119826154
Drosophila_mojavensis,Drosophila_bipectinata,0.154086953,0.151301274,0.166799345,0.151246047,0.166745745
Drosophila_persimilis,Drosophila_bipectinata,0.138629491,0.102636129,0.127005027,0.102602625,0.126955269
Drosophila_pseudoobscura,Drosophila_bipectinata,0.138358239,0.126648181,0.140817013,0.126610594,0.140751556
Drosophila_sechellia,Drosophila_bipectinata,0.122739867,0.106855077,0.121907602,0.106801985,0.12187226
Drosophila_simulans,Drosophila_bipectinata,0.121421968,0.117590135,0.11939592,0.117546941,0.119350724
Drosophila_virilis,Drosophila_bipectinata,0.164731888,0.088624484,0.162578387,0.088597788,0.162558874
Drosophila_willistoni,Drosophila_bipectinata,0.160853098,0.121574655,0.157164762,0.121548582,0.157124452
Drosophila_yakuba,Drosophila_bipectinata,0.124056627,0.115827211,0.121879405,0.115789553,0.121833274
Drosophila_ananassae,Drosophila_erecta,0.123016457,0.124462229,0.124541336,0.12445371,0.124513076
Drosophila_biarmipes,Drosophila_erecta,0.09853436,0.097504468,0.098935499,0.097493051,0.098921628
Drosophila_bipectinata,Drosophila_erecta,0.123456883,0.113008547,0.115526825,0.112974839,0.11548801
Drosophila_erecta,Drosophila_erecta,0,0,0,0,0
Drosophila_eugracilis,Drosophila_erecta,0.095595385,0.092329918,0.094438503,0.092311953,0.094412862
Drosophila_mauritiana,Drosophila_erecta,0.062564954,0.061212016,0.062222534,0.061194071,0.062201377
Drosophila_mojavensis,Drosophila_erecta,0.163164564,0.159193315,0.166762935,0.159209875,0.166797763
Drosophila_persimilis,Drosophila_erecta,0.135686256,0.134182701,0.140961813,0.134164769,0.140954463
Drosophila_pseudoobscura,Drosophila_erecta,0.135313714,0.134899346,0.139484407,0.134898252,0.139481943
Drosophila_sechellia,Drosophila_erecta,0.064605557,0.064392137,0.065405085,0.064369676,0.065383195
Drosophila_simulans,Drosophila_erecta,0.06191662,0.060718874,0.061715096,0.060700102,0.061695299
Drosophila_virilis,Drosophila_erecta,0.161270865,0.146098168,0.164121149,0.146070016,0.16408568
Drosophila_willistoni,Drosophila_erecta,0.158994268,0.151085591,0.157475386,0.151078663,0.157441756
Drosophila_yakuba,Drosophila_erecta,0.060120071,0.058539048,0.059618578,0.058522858,0.059599772
Drosophila_ananassae,Drosophila_eugracilis,0.118637664,0.111469005,0.112121401,0.11145401,0.112113106
Drosophila_biarmipes,Drosophila_eugracilis,0.094439092,0.089500329,0.090684951,0.089488921,0.090676969
Drosophila_bipectinata,Drosophila_eugracilis,0.118106578,0.088746321,0.106676165,0.088717541,0.106644141
Drosophila_erecta,Drosophila_eugracilis,0.095595385,0.092329918,0.094438503,0.092311953,0.094412862
Drosophila_eugracilis,Drosophila_eugracilis,0,0,0,0,0
Drosophila_mauritiana,Drosophila_eugracilis,0.092905308,0.086369863,0.092466564,0.086345212,0.092451393
Drosophila_mojavensis,Drosophila_eugracilis,0.163035742,0.150699187,0.163678985,0.150724068,0.16366797
Drosophila_persimilis,Drosophila_eugracilis,0.133921329,0.11303863,0.135224418,0.113011619,0.135215683
Drosophila_pseudoobscura,Drosophila_eugracilis,0.133580425,0.124936563,0.134823988,0.124929213,0.13481712
Drosophila_sechellia,Drosophila_eugracilis,0.09468378,0.089859556,0.095358026,0.08982541,0.095323617
Drosophila_simulans,Drosophila_eugracilis,0.09234363,0.090352207,0.091964654,0.090330538,0.091950349
Drosophila_virilis,Drosophila_eugracilis,0.160967205,0.101497531,0.159742796,0.101478196,0.159748142
Drosophila_willistoni,Drosophila_eugracilis,0.157453571,0.119277067,0.154792483,0.119232004,0.154738495
Drosophila_yakuba,Drosophila_eugracilis,0.095903834,0.092839024,0.09581027,0.092806943,0.095776827
Drosophila_ananassae,Drosophila_mauritiana,0.121489162,0.121948746,0.12351337,0.121931767,0.123483925
Drosophila_biarmipes,Drosophila_mauritiana,0.096407612,0.095594348,0.09695515,0.095575777,0.096938133
Drosophila_bipectinata,Drosophila_mauritiana,0.119579046,0.102953921,0.119867207,0.102908372,0.119826154
Drosophila_erecta,Drosophila_mauritiana,0.062564954,0.061212016,0.062222534,0.061194071,0.062201377
Drosophila_eugracilis,Drosophila_mauritiana,0.092905308,0.086369863,0.092466564,0.086345212,0.092451393
Drosophila_mauritiana,Drosophila_mauritiana,0,0,0,0,0
Drosophila_mojavensis,Drosophila_mauritiana,0.147289795,0.152676673,0.164637723,0.152722424,0.164707725
Drosophila_persimilis,Drosophila_mauritiana,0.134057404,0.115877635,0.137933265,0.115850698,0.137935089
Drosophila_pseudoobscura,Drosophila_mauritiana,0.134056447,0.125240823,0.133921958,0.125224571,0.133920111
Drosophila_sechellia,Drosophila_mauritiana,0.022145109,0.019885632,0.02009631,0.01986863,0.020084089
Drosophila_simulans,Drosophila_mauritiana,0.018586115,0.016325541,0.016358236,0.016309439,0.01634151
Drosophila_virilis,Drosophila_mauritiana,0.161165521,0.103313212,0.162733728,0.103266784,0.162692534
Drosophila_willistoni,Drosophila_mauritiana,0.158425779,0.137595617,0.155074982,0.137553788,0.155039866
Drosophila_yakuba,Drosophila_mauritiana,0.063356058,0.060792451,0.061946428,0.06076964,0.061922432
Drosophila_ananassae,Drosophila_mojavensis,0.165416263,0.162329554,0.167537012,0.162290863,0.16750588
Drosophila_biarmipes,Drosophila_mojavensis,0.165539067,0.15994948,0.165912779,0.159902158,0.165871846
Drosophila_bipectinata,Drosophila_mojavensis,0.154086953,0.151301274,0.166799345,0.151246047,0.166745745
Drosophila_erecta,Drosophila_mojavensis,0.163164564,0.159193315,0.166762935,0.159209875,0.166797763
Drosophila_eugracilis,Drosophila_mojavensis,0.163035742,0.150699187,0.163678985,0.150724068,0.16366797
Drosophila_mauritiana,Drosophila_mojavensis,0.147289795,0.152676673,0.164637723,0.152722424,0.164707725
Drosophila_mojavensis,Drosophila_mojavensis,0,0,0,0,0
Drosophila_persimilis,Drosophila_mojavensis,0.159878892,0.133126654,0.139467096,0.133140351,0.139498468
Drosophila_pseudoobscura,Drosophila_mojavensis,0.159951896,0.139940082,0.144446349,0.139941144,0.14445506
Drosophila_sechellia,Drosophila_mojavensis,0.162659422,0.153792755,0.163750166,0.153815889,0.163804458
Drosophila_simulans,Drosophila_mojavensis,0.155824402,0.158684733,0.164851299,0.158730813,0.164913655
Drosophila_virilis,Drosophila_mojavensis,0.115142336,0.112896036,0.123001966,0.11286969,0.122969549
Drosophila_willistoni,Drosophila_mojavensis,0.159223312,0.152024785,0.163647809,0.152014036,0.163654168
Drosophila_yakuba,Drosophila_mojavensis,0.163739416,0.158639593,0.166197744,0.158621363,0.166197617
Drosophila_ananassae,Drosophila_persimilis,0.138042171,0.135749696,0.140393682,0.135720419,0.140362437
Drosophila_biarmipes,Drosophila_persimilis,0.136456693,0.13488619,0.140049248,0.134842865,0.140004069
Drosophila_bipectinata,Drosophila_persimilis,0.138629491,0.102636129,0.127005027,0.102602625,0.126955269
Drosophila_erecta,Drosophila_persimilis,0.135686256,0.134182701,0.140961813,0.134164769,0.140954463
Drosophila_eugracilis,Drosophila_persimilis,0.133921329,0.11303863,0.135224418,0.113011619,0.135215683
Drosophila_mauritiana,Drosophila_persimilis,0.134057404,0.115877635,0.137933265,0.115850698,0.137935089
Drosophila_mojavensis,Drosophila_persimilis,0.159878892,0.133126654,0.139467096,0.133140351,0.139498468
Drosophila_persimilis,Drosophila_persimilis,0,0,0,0,0
Drosophila_pseudoobscura,Drosophila_persimilis,0.017272596,0.013743962,0.01395739,0.013729339,0.013944025
Drosophila_sechellia,Drosophila_persimilis,0.135564392,0.11881392,0.139270492,0.118780342,0.139264593
Drosophila_simulans,Drosophila_persimilis,0.134223,0.133902673,0.138921101,0.13387697,0.138899682
Drosophila_virilis,Drosophila_persimilis,0.158487112,0.097340252,0.158487406,0.097327718,0.158459852
Drosophila_willistoni,Drosophila_persimilis,0.156287182,0.136098149,0.163020416,0.136059589,0.163035485
Drosophila_yakuba,Drosophila_persimilis,0.136320612,0.131180456,0.140528439,0.131183801,0.140546024
Drosophila_ananassae,Drosophila_pseudoobscura,0.137791712,0.140340288,0.143566296,0.140319526,0.143530956
Drosophila_biarmipes,Drosophila_pseudoobscura,0.136143953,0.135937371,0.139373848,0.135912286,0.139353728
Drosophila_bipectinata,Drosophila_pseudoobscura,0.138358239,0.126648181,0.140817013,0.126610594,0.140751556
Drosophila_erecta,Drosophila_pseudoobscura,0.135313714,0.134899346,0.139484407,0.134898252,0.139481943
Drosophila_eugracilis,Drosophila_pseudoobscura,0.133580425,0.124936563,0.134823988,0.124929213,0.13481712
Drosophila_mauritiana,Drosophila_pseudoobscura,0.134056447,0.125240823,0.133921958,0.125224571,0.133920111
Drosophila_mojavensis,Drosophila_pseudoobscura,0.159951896,0.139940082,0.144446349,0.139941144,0.14445506
Drosophila_persimilis,Drosophila_pseudoobscura,0.017272596,0.013743962,0.01395739,0.013729339,0.013944025
Drosophila_pseudoobscura,Drosophila_pseudoobscura,0,0,0,0,0
Drosophila_sechellia,Drosophila_pseudoobscura,0.135296214,0.123388931,0.130617235,0.123392204,0.13063228
Drosophila_simulans,Drosophila_pseudoobscura,0.133721974,0.13018507,0.133422516,0.130190878,0.133425738
Drosophila_virilis,Drosophila_pseudoobscura,0.15623783,0.125088405,0.157770969,0.125067257,0.157727781
Drosophila_willistoni,Drosophila_pseudoobscura,0.156099689,0.148821487,0.163254666,0.148796894,0.16322423
Drosophila_yakuba,Drosophila_pseudoobscura,0.136017556,0.133686699,0.138749399,0.133674143,0.138724549
Drosophila_ananassae,Drosophila_sechellia,0.121300308,0.105041184,0.124788593,0.10499581,0.124760355
Drosophila_biarmipes,Drosophila_sechellia,0.098150964,0.098125688,0.09945927,0.098093666,0.099415414
Drosophila_bipectinata,Drosophila_sechellia,0.122739867,0.106855077,0.121907602,0.106801985,0.12187226
Drosophila_erecta,Drosophila_sechellia,0.064605557,0.064392137,0.065405085,0.064369676,0.065383195
Drosophila_eugracilis,Drosophila_sechellia,0.09468378,0.089859556,0.095358026,0.08982541,0.095323617
Drosophila_mauritiana,Drosophila_sechellia,0.022145109,0.019885632,0.02009631,0.01986863,0.020084089
Drosophila_mojavensis,Drosophila_sechellia,0.162659422,0.153792755,0.163750166,0.153815889,0.163804458
Drosophila_persimilis,Drosophila_sechellia,0.135564392,0.11881392,0.139270492,0.118780342,0.139264593
Drosophila_pseudoobscura,Drosophila_sechellia,0.135296214,0.123388931,0.130617235,0.123392204,0.13063228
Drosophila_sechellia,Drosophila_sechellia,0,0,0,0,0
Drosophila_simulans,Drosophila_sechellia,0.020562256,0.018556773,0.018531327,0.018537643,0.018512406
Drosophila_virilis,Drosophila_sechellia,0.162232146,0.10652484,0.151887299,0.106481758,0.151847922
Drosophila_willistoni,Drosophila_sechellia,0.159192975,0.136485379,0.151922105,0.136446778,0.151899676
Drosophila_yakuba,Drosophila_sechellia,0.065395157,0.063325202,0.064385632,0.063300856,0.064358332
Drosophila_ananassae,Drosophila_simulans,0.120867333,0.123053104,0.122834444,0.123006074,0.12279708
Drosophila_biarmipes,Drosophila_simulans,0.09589761,0.094809255,0.096129292,0.094794299,0.096114999
Drosophila_bipectinata,Drosophila_simulans,0.121421968,0.117590135,0.11939592,0.117546941,0.119350724
Drosophila_erecta,Drosophila_simulans,0.06191662,0.060718874,0.061715096,0.060700102,0.061695299
Drosophila_eugracilis,Drosophila_simulans,0.09234363,0.090352207,0.091964654,0.090330538,0.091950349
Drosophila_mauritiana,Drosophila_simulans,0.018586115,0.016325541,0.016358236,0.016309439,0.01634151
Drosophila_mojavensis,Drosophila_simulans,0.155824402,0.158684733,0.164851299,0.158730813,0.164913655
Drosophila_persimilis,Drosophila_simulans,0.134223,0.133902673,0.138921101,0.13387697,0.138899682
Drosophila_pseudoobscura,Drosophila_simulans,0.133721974,0.13018507,0.133422516,0.130190878,0.133425738
Drosophila_sechellia,Drosophila_simulans,0.020562256,0.018556773,0.018531327,0.018537643,0.018512406
Drosophila_simulans,Drosophila_simulans,0,0,0,0,0
Drosophila_virilis,Drosophila_simulans,0.160796219,0.153946417,0.164558239,0.153915462,0.164525814
Drosophila_willistoni,Drosophila_simulans,0.158288834,0.1504825,0.155422896,0.150439395,0.155393941
Drosophila_yakuba,Drosophila_simulans,0.062688072,0.060327117,0.061303184,0.06030111,0.061277087
Drosophila_ananassae,Drosophila_virilis,0.163554656,0.145094065,0.164067558,0.145073124,0.164027732
Drosophila_biarmipes,Drosophila_virilis,0.163325085,0.151245211,0.163220328,0.151196515,0.163186274
Drosophila_bipectinata,Drosophila_virilis,0.164731888,0.088624484,0.162578387,0.088597788,0.162558874
Drosophila_erecta,Drosophila_virilis,0.161270865,0.146098168,0.164121149,0.146070016,0.16408568
Drosophila_eugracilis,Drosophila_virilis,0.160967205,0.101497531,0.159742796,0.101478196,0.159748142
Drosophila_mauritiana,Drosophila_virilis,0.161165521,0.103313212,0.162733728,0.103266784,0.162692534
Drosophila_mojavensis,Drosophila_virilis,0.115142336,0.112896036,0.123001966,0.11286969,0.122969549
Drosophila_persimilis,Drosophila_virilis,0.158487112,0.097340252,0.158487406,0.097327718,0.158459852
Drosophila_pseudoobscura,Drosophila_virilis,0.15623783,0.125088405,0.157770969,0.125067257,0.157727781
Drosophila_sechellia,Drosophila_virilis,0.162232146,0.10652484,0.151887299,0.106481758,0.151847922
Drosophila_simulans,Drosophila_virilis,0.160796219,0.153946417,0.164558239,0.153915462,0.164525814
Drosophila_virilis,Drosophila_virilis,0,0,0,0,0
Drosophila_willistoni,Drosophila_virilis,0.158987321,0.114493546,0.145991141,0.114442022,0.146003065
Drosophila_yakuba,Drosophila_virilis,0.16199772,0.134350025,0.159807159,0.13433678,0.159788989
Drosophila_ananassae,Drosophila_willistoni,0.160456145,0.151648177,0.158824745,0.151601979,0.158782326
Drosophila_biarmipes,Drosophila_willistoni,0.161127995,0.152792786,0.159663318,0.152753593,0.159624341
Drosophila_bipectinata,Drosophila_willistoni,0.160853098,0.121574655,0.157164762,0.121548582,0.157124452
Drosophila_erecta,Drosophila_willistoni,0.158994268,0.151085591,0.157475386,0.151078663,0.157441756
Drosophila_eugracilis,Drosophila_willistoni,0.157453571,0.119277067,0.154792483,0.119232004,0.154738495
Drosophila_mauritiana,Drosophila_willistoni,0.158425779,0.137595617,0.155074982,0.137553788,0.155039866
Drosophila_mojavensis,Drosophila_willistoni,0.159223312,0.152024785,0.163647809,0.152014036,0.163654168
Drosophila_persimilis,Drosophila_willistoni,0.156287182,0.136098149,0.163020416,0.136059589,0.163035485
Drosophila_pseudoobscura,Drosophila_willistoni,0.156099689,0.148821487,0.163254666,0.148796894,0.16322423
Drosophila_sechellia,Drosophila_willistoni,0.159192975,0.136485379,0.151922105,0.136446778,0.151899676
Drosophila_simulans,Drosophila_willistoni,0.158288834,0.1504825,0.155422896,0.150439395,0.155393941
Drosophila_virilis,Drosophila_willistoni,0.158987321,0.114493546,0.145991141,0.114442022,0.146003065
Drosophila_willistoni,Drosophila_willistoni,0,0,0,0,0
Drosophila_yakuba,Drosophila_willistoni,0.159691871,0.123667202,0.127222481,0.123670112,0.127236884
Drosophila_ananassae,Drosophila_yakuba,0.123644541,0.124715464,0.125186712,0.124706503,0.125172811
Drosophila_biarmipes,Drosophila_yakuba,0.099188513,0.09865707,0.100211655,0.098633567,0.100188651
Drosophila_bipectinata,Drosophila_yakuba,0.124056627,0.115827211,0.121879405,0.115789553,0.121833274
Drosophila_erecta,Drosophila_yakuba,0.060120071,0.058539048,0.059618578,0.058522858,0.059599772
Drosophila_eugracilis,Drosophila_yakuba,0.095903834,0.092839024,0.09581027,0.092806943,0.095776827
Drosophila_mauritiana,Drosophila_yakuba,0.063356058,0.060792451,0.061946428,0.06076964,0.061922432
Drosophila_mojavensis,Drosophila_yakuba,0.163739416,0.158639593,0.166197744,0.158621363,0.166197617
Drosophila_persimilis,Drosophila_yakuba,0.136320612,0.131180456,0.140528439,0.131183801,0.140546024
Drosophila_pseudoobscura,Drosophila_yakuba,0.136017556,0.133686699,0.138749399,0.133674143,0.138724549
Drosophila_sechellia,Drosophila_yakuba,0.065395157,0.063325202,0.064385632,0.063300856,0.064358332
Drosophila_simulans,Drosophila_yakuba,0.062688072,0.060327117,0.061303184,0.06030111,0.061277087
Drosophila_virilis,Drosophila_yakuba,0.16199772,0.134350025,0.159807159,0.13433678,0.159788989
Drosophila_willistoni,Drosophila_yakuba,0.159691871,0.123667202,0.127222481,0.123670112,0.127236884
Drosophila_yakuba,Drosophila_yakuba,0,0,0,0,0