sample,Filtered,variable,value,Overlap,Overlap2,s2,s1,D,error
Dros_sim_base100,FALSE,s2_Dros_sech_overlap_0,0.023087562,0,0,Dros_sech,Dros_sim,0.021215276,0.088251809
Dros_sim_base100,TRUE,s2_Dros_sech_overlap_0,0.021538443,0,0,Dros_sech,Dros_sim,0.021215276,0.015232766
s1_Dros_sim_overlap_0,FALSE,s2_Dros_sech_overlap_0,0.018442535,11.1163856,1111.63856,Dros_sech,Dros_sim,0.021215276,-0.130695484
s1_Dros_sim_overlap_0,TRUE,s2_Dros_sech_overlap_0,0.021180117,11.1163856,1111.63856,Dros_sech,Dros_sim,0.021215276,-0.001657259
s1_Dros_sim_overlap_1,FALSE,s2_Dros_sech_overlap_1,0.018286271,11.54043644,1154.043644,Dros_sech,Dros_sim,0.021215276,-0.13806113
s1_Dros_sim_overlap_1,TRUE,s2_Dros_sech_overlap_1,0.021165574,11.54043644,1154.043644,Dros_sech,Dros_sim,0.021215276,-0.00234274
s1_Dros_sim_overlap_10,FALSE,s2_Dros_sech_overlap_10,0.01648505,15.8292074,1582.92074,Dros_sech,Dros_sim,0.021215276,-0.222963222
s1_Dros_sim_overlap_10,TRUE,s2_Dros_sech_overlap_10,0.020985824,15.8292074,1582.92074,Dros_sech,Dros_sim,0.021215276,-0.010815409
s1_Dros_sim_overlap_25,FALSE,s2_Dros_sech_overlap_25,0.013729063,23.81669005,2381.669005,Dros_sech,Dros_sim,0.021215276,-0.352868972
s1_Dros_sim_overlap_25,TRUE,s2_Dros_sech_overlap_25,0.020723988,23.81669005,2381.669005,Dros_sech,Dros_sim,0.021215276,-0.023157257
s1_Dros_sim_overlap_5,FALSE,s2_Dros_sech_overlap_5,0.017504713,13.31077633,1331.077633,Dros_sech,Dros_sim,0.021215276,-0.174900518
s1_Dros_sim_overlap_5,TRUE,s2_Dros_sech_overlap_5,0.021082741,13.31077633,1331.077633,Dros_sech,Dros_sim,0.021215276,-0.00624716
s1_Dros_sim_overlap_50,FALSE,s2_Dros_sech_overlap_50,0.009426912,40.77778807,4077.778807,Dros_sech,Dros_sim,0.021215276,-0.555654519
s1_Dros_sim_overlap_50,TRUE,s2_Dros_sech_overlap_50,0.020303927,40.77778807,4077.778807,Dros_sech,Dros_sim,0.021215276,-0.042957225
Dros_sim_base100,FALSE,s2_Drosophila_sim_WXD1_overlap_0,0.003794205,0,0,Drosophila_sim_WXD1,Dros_sim,0.001933919,0.961925499
Dros_sim_base100,TRUE,s2_Drosophila_sim_WXD1_overlap_0,0.00214487,0,0,Drosophila_sim_WXD1,Dros_sim,0.001933919,0.109079772
s1_Dros_sim_overlap_0,FALSE,s2_Drosophila_sim_WXD1_overlap_0,0.001775457,11.1163856,1111.63856,Drosophila_sim_WXD1,Dros_sim,0.001933919,-0.081938062
s1_Dros_sim_overlap_0,TRUE,s2_Drosophila_sim_WXD1_overlap_0,0.001982166,11.1163856,1111.63856,Drosophila_sim_WXD1,Dros_sim,0.001933919,0.024947928
s1_Dros_sim_overlap_1,FALSE,s2_Drosophila_sim_WXD1_overlap_1,0.001686136,11.54043644,1154.043644,Drosophila_sim_WXD1,Dros_sim,0.001933919,-0.128124616
s1_Dros_sim_overlap_1,TRUE,s2_Drosophila_sim_WXD1_overlap_1,0.001973466,11.54043644,1154.043644,Drosophila_sim_WXD1,Dros_sim,0.001933919,0.020449206
s1_Dros_sim_overlap_10,FALSE,s2_Drosophila_sim_WXD1_overlap_10,0.000604599,15.8292074,1582.92074,Drosophila_sim_WXD1,Dros_sim,0.001933919,-0.68737105
s1_Dros_sim_overlap_10,TRUE,s2_Drosophila_sim_WXD1_overlap_10,0.001873759,15.8292074,1582.92074,Drosophila_sim_WXD1,Dros_sim,0.001933919,-0.031107855
s1_Dros_sim_overlap_25,FALSE,s2_Drosophila_sim_WXD1_overlap_25,0,23.81669005,2381.669005,Drosophila_sim_WXD1,Dros_sim,0.001933919,-1
s1_Dros_sim_overlap_25,TRUE,s2_Drosophila_sim_WXD1_overlap_25,0.001730016,23.81669005,2381.669005,Drosophila_sim_WXD1,Dros_sim,0.001933919,-0.105435047
s1_Dros_sim_overlap_5,FALSE,s2_Drosophila_sim_WXD1_overlap_5,0.001221454,13.31077633,1331.077633,Drosophila_sim_WXD1,Dros_sim,0.001933919,-0.368404704
s1_Dros_sim_overlap_5,TRUE,s2_Drosophila_sim_WXD1_overlap_5,0.001930751,13.31077633,1331.077633,Drosophila_sim_WXD1,Dros_sim,0.001933919,-0.001637988
s1_Dros_sim_overlap_50,FALSE,s2_Drosophila_sim_WXD1_overlap_50,0,40.77778807,4077.778807,Drosophila_sim_WXD1,Dros_sim,0.001933919,-1
s1_Dros_sim_overlap_50,TRUE,s2_Drosophila_sim_WXD1_overlap_50,0.001503214,40.77778807,4077.778807,Drosophila_sim_WXD1,Dros_sim,0.001933919,-0.222711135
Dros_sim_base100,FALSE,s2_Drosophila_yakuba_overlap_0,0.064484705,0,0,Drosophila_yakuba,Dros_sim,0.062705933,0.028366883
Dros_sim_base100,TRUE,s2_Drosophila_yakuba_overlap_0,0.063336971,0,0,Drosophila_yakuba,Dros_sim,0.062705933,0.010063449
s1_Dros_sim_overlap_0,FALSE,s2_Drosophila_yakuba_overlap_0,0.048323852,11.1163856,1111.63856,Drosophila_yakuba,Dros_sim,0.062705933,-0.229357583
s1_Dros_sim_overlap_0,TRUE,s2_Drosophila_yakuba_overlap_0,0.062343266,11.1163856,1111.63856,Drosophila_yakuba,Dros_sim,0.062705933,-0.005783616
s1_Dros_sim_overlap_1,FALSE,s2_Drosophila_yakuba_overlap_1,0.047934571,11.54043644,1154.043644,Drosophila_yakuba,Dros_sim,0.062705933,-0.235565625
s1_Dros_sim_overlap_1,TRUE,s2_Drosophila_yakuba_overlap_1,0.062303003,11.54043644,1154.043644,Drosophila_yakuba,Dros_sim,0.062705933,-0.006425709
s1_Dros_sim_overlap_10,FALSE,s2_Drosophila_yakuba_overlap_10,0.043734449,15.8292074,1582.92074,Drosophila_yakuba,Dros_sim,0.062705933,-0.302546872
s1_Dros_sim_overlap_10,TRUE,s2_Drosophila_yakuba_overlap_10,0.061679991,15.8292074,1582.92074,Drosophila_yakuba,Dros_sim,0.062705933,-0.016361155
s1_Dros_sim_overlap_25,FALSE,s2_Drosophila_yakuba_overlap_25,0.037842828,23.81669005,2381.669005,Drosophila_yakuba,Dros_sim,0.062705933,-0.396503235
s1_Dros_sim_overlap_25,TRUE,s2_Drosophila_yakuba_overlap_25,0.060781246,23.81669005,2381.669005,Drosophila_yakuba,Dros_sim,0.062705933,-0.030693858
s1_Dros_sim_overlap_5,FALSE,s2_Drosophila_yakuba_overlap_5,0.046066096,13.31077633,1331.077633,Drosophila_yakuba,Dros_sim,0.062705933,-0.265363034
s1_Dros_sim_overlap_5,TRUE,s2_Drosophila_yakuba_overlap_5,0.06199439,13.31077633,1331.077633,Drosophila_yakuba,Dros_sim,0.062705933,-0.011347296
s1_Dros_sim_overlap_50,FALSE,s2_Drosophila_yakuba_overlap_50,0.029606868,40.77778807,4077.778807,Drosophila_yakuba,Dros_sim,0.062705933,-0.527845821
s1_Dros_sim_overlap_50,TRUE,s2_Drosophila_yakuba_overlap_50,0.059362207,40.77778807,4077.778807,Drosophila_yakuba,Dros_sim,0.062705933,-0.053323913